title,year,citations_scopus,citations_scholar,venue,doi,core_rank,scimago_quartile,sjr_score,sjr_score,sjr_score,sjr_score,type,source
Fog-Computing Based Healthcare Framework For Predicting Encephalitis Outbreak,2022.0,8,10.0,Big Data Research,10.1016/j.bdr.2022.100330,N/A,Q1,Big Data Research,journal,"0,914",big data research,Journal,Scopus + Scholar
Federated Learning Of Explainable Ai Models In 6G Systems: Towards Secure And Automated Vehicle Networking,2022.0,67,87.0,Information Switzerland,10.3390/info13080395,N/A,Q1,Information Sciences,journal,"1,803",information sciences,Journal,Scopus + Scholar
"A Survey Of Blockchain-Based Iot Ehealthcare: Applications, Research Issues, And Challenges",2022.0,54,84.0,Internet of Things Netherlands,10.1016/j.iot.2022.100551,N/A,Q1,Internet of Things (The Netherlands),journal,"1,527",internet of things (the netherlands),Journal,Scopus + Scholar
A Milp Approach To Dram Access Worst-Case Analysis,2022.0,3,6.0,Computers and Operations Research,10.1016/j.cor.2022.105774,B,Q1,Computers and Operations Research,journal,"1,605",computers and operations research,Journal,Scopus + Scholar
A Low-Latency And Reliable Multihop D2D Transmissions Scheduling Algorithm For Guaranteed Message Dissemination,2022.0,1,1.0,Ad Hoc Networks,10.1016/j.adhoc.2021.102755,N/A,Q1,Ad Hoc Networks,journal,"1,210",ad hoc networks,Journal,Scopus + Scholar
A Survey Of Smart Classroom Literature,2022.0,55,112.0,Education Sciences,10.3390/educsci12020086,N/A,Q1,Education Sciences,journal,"0,730",education sciences,Journal,Scopus + Scholar
Nancy: An Efficient Parallel Network Calculus Library,2022.0,9,21.0,Softwarex,10.1016/j.softx.2022.101178,N/A,Q3,SoftwareX,journal,"0,483",softwarex,Journal,Scopus + Scholar
Covid-19 Cases Detection From Chest X-Ray Images Using Cnn Based Deep Learning Model,2022.0,3,6.0,International Journal of Advanced Computer Science and Applications,10.14569/IJACSA.2022.01305108,C,Q3,International Journal of Advanced Computer Science and Applications,journal,"0,285",international journal of advanced computer science and applications,Journal,Scopus + Scholar
Sapient: Enabling Real-Time Monitoring And Control In The Future Communication Infrastructure Of Air Traffic Management,2021.0,5,9.0,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2020.2983614,N/A,Q1,IEEE Transactions on Intelligent Transportation Systems,journal,"2,589",ieee transactions on intelligent transportation systems,Journal,Scopus + Scholar
Scalable Real-Time Emulation Of 5G Networks With Simu5G,2021.0,27,44.0,IEEE Access,10.1109/ACCESS.2021.3123873,N/A,Q1,IEEE Access,journal,"0,849",ieee access,Journal,Scopus + Scholar
End-To-End Performance Evaluation Of Mec Deployments In 5G Scenarios,2020.0,33,52.0,Journal of Sensor and Actuator Networks,10.3390/jsan9040057,N/A,Q1,Journal of Sensor and Actuator Networks,journal,"0,875",journal of sensor and actuator networks,Journal,Scopus + Scholar
Simu5G–An Omnet++ Library For End-To-End Performance Evaluation Of 5G Networks,2020.0,233,355.0,IEEE Access,10.1109/ACCESS.2020.3028550,N/A,Q1,IEEE Access,journal,"0,849",ieee access,Journal,Scopus + Scholar
Using Deep Reinforcement Learning For Application Relocation In Multi-Access Edge Computing,2019.0,15,21.0,IEEE Communications Standards Magazine,10.1109/MCOMSTD.2019.1900011,N/A,Q1,IEEE Communications Standards Magazine,journal,"2,174",ieee communications standards magazine,Journal,Scopus + Scholar
Testbeds For Future Wireless Networks,2019.0,1,2.0,Wireless Communications and Mobile Computing,10.1155/2019/2382471,B,Q1,Mobile Media and Communication,journal,"2,165",mobile media and communication,Journal,Scopus + Scholar
D2D Communications For Large-Scale Fog Platforms: Enabling Direct M2M Interactions,2018.0,17,20.0,IEEE Vehicular Technology Magazine,10.1109/MVT.2017.2775560,B,Q1,IEEE Vehicular Technology Magazine,journal,"2,105",ieee vehicular technology magazine,Journal,Scopus + Scholar
"Practical Feasibility, Scalability And Effectiveness Of Coordinated Scheduling Algorithms In Cellular Networks Towards 5G",2018.0,10,13.0,Journal of Network and Computer Applications,10.1016/j.jnca.2018.01.007,C,Q1,Journal of Network and Computer Applications,journal,"1,972",journal of network and computer applications,Journal,Scopus + Scholar
A Scalable Data-Plane Architecture For One-To-One Device-To-Device Communications In Lte-Advanced,2018.0,7,11.0,Computer Networks,10.1016/j.comnet.2017.12.006,C,Q1,Computer Networks,journal,"1,170",computer networks,Journal,Scopus + Scholar
Designing The 5G Network Infrastructure: A Flexible And Reconfigurable Architecture Based On Context And Content Information,2018.0,14,15.0,Eurasip Journal on Wireless Communications and Networking,10.1186/s13638-018-1215-1,B,Q2,Eurasip Journal on Wireless Communications and Networking,journal,"0,550",eurasip journal on wireless communications and networking,Journal,Scopus + Scholar
Towards Robust Admission Control In Delay-Constrained Routing Problems,2018.0,0,0.0,Electronic Notes in Discrete Mathematics,10.1016/j.endm.2018.07.007,N/A,Q3,Discrete Mathematics Letters,journal,"0,361",discrete mathematics letters,Journal,Scopus + Scholar
Modeling Network-Controlled Device-To-Device Communications In Simulte,2018.0,12,18.0,Sensors Switzerland,10.3390/s18103551,N/A,N/A,,,,,Journal,Scopus + Scholar
Cellular-V2X Communications For Platooning: Design And Evaluation,2018.0,83,121.0,Sensors Switzerland,10.3390/s18051527,N/A,N/A,,,,,Journal,Scopus + Scholar
A Distributed Power-Saving Framework For Lte Hetnets Exploiting Almost Blank Subframes,2017.0,7,9.0,IEEE Transactions on Green Communications and Networking,10.1109/TGCN.2017.2714205,B,Q1,IEEE Transactions on Green Communications and Networking,journal,"1,780",ieee transactions on green communications and networking,Journal,Scopus + Scholar
Delay-Constrained Routing Problems: Accurate Scheduling Models And Admission Control,2017.0,4,12.0,Computers and Operations Research,10.1016/j.cor.2016.12.009,B,Q1,Computers and Operations Research,journal,"1,605",computers and operations research,Journal,Scopus + Scholar
"Qos Routing With Worst-Case Delay Constraints: Models, Algorithms And Performance Analysis",2017.0,7,13.0,Computer Communications,10.1016/j.comcom.2016.09.006,B,Q1,Computer Communications,journal,"1,114",computer communications,Journal,Scopus + Scholar
A Practical Framework For Energy-Efficient Node Activation In Heterogeneous Lte Networks,2017.0,2,5.0,Mobile Information Systems,10.1155/2017/2495934,B,Q1,Information Systems,journal,"0,885",information systems,Journal,Scopus + Scholar
A Fast And Reliable Broadcast Service For Lte-Advanced Exploiting Multihop Device-To-Device Transmissions,2017.0,15,21.0,Future Internet,10.3390/fi9040089,N/A,Q2,Future Internet,journal,"0,762",future internet,Journal,Scopus + Scholar
Resource Allocation For Network-Controlled Device-To-Device Communications In Lte-Advanced,2017.0,27,34.0,Wireless Networks,10.1007/s11276-016-1193-3,N/A,Q2,Wireless Networks,journal,"0,571",wireless networks,Journal,Scopus + Scholar
Mobile-Edge Computing Come Home Connecting Things In Future Smart Homes Using Lte Device-To-Device Communications.,2016.0,77,91.0,IEEE Consumer Electronics Magazine,10.1109/MCE.2016.2590100,N/A,Q2,IEEE Consumer Electronics Magazine,trade journal,"0,745",ieee consumer electronics magazine,Trade Journal,Scopus + Scholar
Practical Large-Scale Coordinated Scheduling In Lte-Advanced Networks,2016.0,19,26.0,Wireless Networks,10.1007/s11276-015-0948-6,N/A,Q2,Wireless Networks,journal,"0,571",wireless networks,Journal,Scopus + Scholar
Exact Worst-Case Delay In Fifo-Multiplexing Feed-Forward Networks,2015.0,27,48.0,IEEE ACM Transactions on Networking,10.1109/TNET.2014.2332071,N/A,Q1,IEEE/ACM Transactions on Networking,journal,"1,394",ieee/acm transactions on networking,Journal,Scopus + Scholar
A Comprehensive Simulation Analysis Of Lte Discontinuous Reception (Drx),2014.0,22,31.0,Computer Networks,10.1016/j.comnet.2014.07.014,C,Q1,Computer Networks,journal,"1,170",computer networks,Journal,Scopus + Scholar
Optimal Joint Path Computation And Rate Allocation For Real-Time Traffic,2014.0,7,14.0,Computer Journal,10.1093/comjnl/bxu053,N/A,Q2,Computer Journal,journal,"0,482",computer journal,Journal,Scopus + Scholar
Throughput-Optimal Resource Allocation In Lte-Advanced With Distributed Antennas,2013.0,5,6.0,Computer Networks,10.1016/j.comnet.2013.10.002,C,Q1,Computer Networks,journal,"1,170",computer networks,Journal,Scopus + Scholar
Optimal Joint Routing And Link Scheduling For Real-Time Traffic In Tdma Wireless Mesh Networks,2013.0,29,47.0,Computer Networks,10.1016/j.comnet.2012.11.021,C,Q1,Computer Networks,journal,"1,170",computer networks,Journal,Scopus + Scholar
Design And Analysis Of Ipact-Based Bandwidth Allocation For Delay Guarantee In Ofdma-Pon,2013.0,9,10.0,Journal of Optical Communications and Networking,10.1364/JOCN.5.001236,B,Q2,Journal of Optical Communications and Networking,journal,"0,858",journal of optical communications and networking,Journal,Scopus + Scholar
On The Schedulability Of Deadline-Constrained Traffic In Tdma Wireless Mesh Networks,2013.0,0,1.0,Computer Journal,10.1093/comjnl/bxt154,N/A,Q2,Computer Journal,journal,"0,482",computer journal,Journal,Scopus + Scholar
Numerical Analysis Of Worst-Case End-To-End Delay Bounds In Fifo Tandem Networks,2012.0,15,31.0,Real Time Systems,10.1007/s11241-012-9153-1,A*,Q2,Real-Time Systems,journal,"0,491",real time systems,Journal,Scopus + Scholar
Selected Papers From Valuetools 2009,2012.0,0,0.0,Performance Evaluation,10.1016/j.peva.2012.02.001,N/A,Q3,Performance Evaluation,journal,"0,426",performance evaluation,Journal,Scopus + Scholar
Efficient Link Scheduling For Online Admission Control Of Real-Time Traffic In Wireless Mesh Networks,2011.0,6,9.0,Computer Communications,10.1016/j.comcom.2011.02.004,B,Q1,Computer Communications,journal,"1,114",computer communications,Journal,Scopus + Scholar
"Guest Editorial: Special Issue On Software Tools,Techniques And Architectures For Computer Simulation",2011.0,0,0.0,Simulation,10.1177/0037549710386159,N/A,Q2,Simulation,journal,"0,382",simulation,Journal,Scopus + Scholar
Euqos: End-To-End Quality Of Service Over Heterogeneous Networks,2009.0,29,56.0,Computer Communications,10.1016/j.comcom.2008.12.013,B,Q1,Computer Communications,journal,"1,114",computer communications,Journal,Scopus + Scholar
Provisioning Qos In Inter-Domain Traffic Engineering,2008.0,5,9.0,Annales Des Telecommunications Annals of Telecommunications,10.1007/s12243-008-0059-9,N/A,Q2,Annales des Telecommunications/Annals of Telecommunications,journal,"0,550",annales des telecommunications/annals of telecommunications,Journal,Scopus + Scholar
A Methodology For Computing End-To-End Delay Bounds In Fifo-Multiplexing Tandems,2008.0,34,60.0,Performance Evaluation,10.1016/j.peva.2008.04.002,N/A,Q3,Performance Evaluation,journal,"0,426",performance evaluation,Journal,Scopus + Scholar
Design And Performance Analysis Of The Real-Time Hcca Scheduler For Ieee 802.11E Wlans,2007.0,41,61.0,Computer Networks,10.1016/j.comnet.2007.01.027,C,Q1,Computer Networks,journal,"1,170",computer networks,Journal,Scopus + Scholar
The Euqos System: A Solution For Qos Routing In Heterogeneous Networks,2007.0,46,0.0,IEEE Communications Magazine,10.1109/MCOM.2007.313402,C,Q1,IEEE Communications Magazine,journal,"3,281",ieee communications magazine,Journal,Scopus + Scholar
Performance Analysis Of Modified Deficit Round Robin Schedulers,2007.0,11,16.0,Journal of High Speed Networks,,N/A,Q3,Journal of High Speed Networks,journal,"0,244",journal of high speed networks,Journal,Scopus + Scholar
Tight End-To-End Per-Flow Delay Bounds In Fifo Multiplexing Sink-Tree Networks,2006.0,82,123.0,Performance Evaluation,10.1016/j.peva.2005.10.003,N/A,Q3,Performance Evaluation,journal,"0,426",performance evaluation,Journal,Scopus + Scholar
Delay Bounds For Fifo Aggregates: A Case Study,2005.0,30,0.0,Computer Communications,10.1016/j.comcom.2004.10.003,B,Q1,Computer Communications,journal,"1,114",computer communications,Journal,Scopus + Scholar
"Tradeoffs Between Low Complexity, Low Latency, And Fairness With Deficit Round-Robin Schedulers",2004.0,56,92.0,IEEE ACM Transactions on Networking,10.1109/TNET.2004.833131,N/A,Q1,IEEE/ACM Transactions on Networking,journal,"1,394",ieee/acm transactions on networking,Journal,Scopus + Scholar
Design And Performance Analysis Of The Generalized Timed Token Service Discipline,2004.0,6,9.0,IEEE Transactions on Computers,10.1109/TC.2004.28,N/A,Q1,IEEE Transactions on Computers,journal,"1,156",ieee transactions on computers,Journal,Scopus + Scholar
Eligibility-Based Round Robin For Fair And Efficient Packet Scheduling In Wormhole Switching Networks,2004.0,15,18.0,IEEE Transactions on Parallel and Distributed Systems,10.1109/TPDS.2004.1264809,C,Q1,IEEE Transactions on Parallel and Distributed Systems,journal,"2,097",ieee transactions on parallel and distributed systems,Journal,Scopus + Scholar
A Unifying Service Discipline For Providing Rate-Based Guaranteed And Fair Queuing Services Based On The Timed Token Protocol,2002.0,10,15.0,IEEE Transactions on Computers,10.1109/TC.2002.1032622,N/A,Q1,IEEE Transactions on Computers,journal,"1,156",ieee transactions on computers,Journal,Scopus + Scholar
Packet Timed Token Service Discipline: A Scheduling Algorithm Based On The Dual-Class Paradigm For Providing Qos In Integrated Services Networks,2002.0,8,10.0,Computer Networks,10.1016/S1389-1286(01)00312-7,C,Q1,Computer Networks,journal,"1,170",computer networks,Journal,Scopus + Scholar
